"rank_population","country_en","leader_name_en","local_file","source_url","license","license_url","author","credit","changes_made","download_date"
"1","India","Droupadi Murmu","assets/final_portraits_3x4/001_IND_Droupadi-Murmu.jpg","https://commons.wikimedia.org/wiki/File:President_of_India_Droupadi_Murmu_official_portrait_%28cropped%29.jpg","GODL-India","","President's Secretariat
","https://presidentofindia.gov.in/president-india-smt-droupadi-murmu","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"2","People's Republic of China","Xi Jinping","assets/final_portraits_3x4/002_CHN_Xi-Jinping.jpg","https://commons.wikimedia.org/wiki/File:Xi_Jinping_meets_Keir_Starmer_Jan_2026.jpg","CC BY 4.0","","Simon Dawson / No 10 Downing Street","Prime Minister Keir Starmer visits China","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"3","United States","Donald Trump","assets/final_portraits_3x4/003_USA_Donald-Trump.jpg","https://commons.wikimedia.org/wiki/File:Official_Presidential_Portrait_of_President_Donald_J._Trump_%282025%29_%28cropped%29%282%29.jpg","Public domain","","Daniel Torok","White HouseFacebook","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"4","Indonesia","Prabowo Subianto","assets/final_portraits_3x4/004_IDN_Prabowo-Subianto.jpg","https://commons.wikimedia.org/wiki/File:Prabowo_Subianto_2024_official_portrait.jpg","Public domain","","Ministry of State Secretariat","https://drive.google.com/drive/folders/129OfYcB7t4mdOZWutA05Flkij718oIpV","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"5","Pakistan","Asif Ali Zardari","assets/final_portraits_3x4/005_PAK_Asif-Ali-Zardari.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Asif%20Ali%20Zardari%20-%202024%20%28cropped%202%29.jpg","CC BY 4.0","","



Press Service of the President of the Republic of Azerbaijan
","State reception on behalf of President of Pakistan was hosted in honor of President of Azerbaijan","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"6","Nigeria","Bola Ahmed Tinubu","assets/final_portraits_3x4/006_NGA_Bola-Ahmed-Tinubu.jpg","https://commons.wikimedia.org/wiki/File:Bola_Tinubu_portrait.jpg","CC BY-SA 4.0","","Nosa Asemota ","Own work","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"7","Brazil","Luiz Inácio Lula da Silva","assets/final_portraits_3x4/007_BRA_Luiz-Inácio-Lula-da-Silva.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Foto%20oficial%20de%20Luiz%20In%C3%A1cio%20Lula%20da%20Silva%20%28estreita%29.jpg","CC BY 2.0","","Palácio do Planalto from Brasilia, Brasil","Foto Oficial do Presidente da República, Luiz Inácio Lula da Silva","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"8","Bangladesh","Mohammad Shahabuddin","assets/final_portraits_3x4/008_BGD_Mohammad-Shahabuddin.jpg","https://commons.wikimedia.org/wiki/File:Mohammed_Shahabuddin_official_portrait.jpg","Public domain","","Press Information Department
","রাষ্ট্রপতির জীবনবৃত্তান্ত","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"9","Russia","Vladimir Putin","assets/final_portraits_3x4/009_RUS_Vladimir-Putin.jpg","https://commons.wikimedia.org/wiki/File:%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%9F%D1%83%D1%82%D0%B8%D0%BD_%2808-03-2024%29_%28cropped%29_%28higher_res%29_2.jpg","CC BY 4.0","","Пресс-служба Президента РФ","https://www.thetimes.com/world/europe/article/emmanuel-macron-rebrands-himself-as-anti-russia-hawk-to-german-fury-dlplhbbzs (indirectly, this is identical in framing, slightly different color, higher res)","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"10","Mexico","Claudia Sheinbaum","assets/final_portraits_3x4/010_MEX_Claudia-Sheinbaum.jpg","https://commons.wikimedia.org/wiki/File:Claudia_Sheinbaum_en_su_conferencia_matutina_%28cropped%29.jpg","CC BY 2.0","","Eneas De Troya","https://www.flickr.com/photos/eneas/54070528525/","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
