rank,iso3,country,display_name,office_title,role_type,salary_basis,status,note,wikidata_head,wikidata_head_government,image_file,image_status
"1","GBR","United Kingdom","Charles III","Monarch / head of state; no president","head_state","monarch_public_funding_equivalent_estimate","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Charles III).","Charles III","Keir Starmer","020_GBR_Charles-III.jpg","IMAGE_UNIQUE"
"2","SAU","Saudi Arabia","Salman bin Abdulaziz Al Saud","Monarch / head of state; no president","head_state","royal_compensation_estimate","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Salman bin Abdulaziz Al Saud).","Salman bin Abdulaziz Al Saud","Salman bin Abdulaziz Al Saud","042_SAU_Salman-bin-Abdulaziz-Al-Saud.jpg","IMAGE_UNIQUE"
"3","ARE","United Arab Emirates","Mohammed Bin Zayed Al Nahyan","President of the United Arab Emirates / head of state","head_state","royal_compensation_estimate","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Mohammed Bin Zayed Al Nahyan).","Mohammed Bin Zayed Al Nahyan","Mohammed bin Rashid Al Maktoum","084_ARE_Mohammed-Bin-Zayed-Al-Nahyan.jpg","IMAGE_UNIQUE"
"4","BEL","Belgium","Philippe of Belgium","Monarch / head of state; no president","head_state","civil_list_equivalent_estimate","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Philippe of Belgium).","Philippe of Belgium","Bart De Wever","081_BEL_Philippe-of-Belgium.jpg","IMAGE_UNIQUE"
"5","JOR","Jordan","Abdullah II of Jordan","Monarch / head of state; no president","head_state","royal_allowance_estimate","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Abdullah II of Jordan).","Abdullah II of Jordan","Jafar Hassan","080_JOR_Abdullah-II-of-Jordan.jpg","IMAGE_UNIQUE"
"6","THA","Thailand","Vajiralongkorn","Monarch / head of state; no president","head_state","royal_public_funding_equivalent_estimate","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Vajiralongkorn).","Vajiralongkorn","Paetongtarn Shinawatra","023_THA_Vajiralongkorn.jpg","IMAGE_UNIQUE"
"7","CHE","Switzerland","Guy Parmelin","President of the Swiss Confederation 2026; Federal Council is collective head of state","rotating_president_collective_head","official_salary_plus_allowances_current_fx_estimate","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Swiss Federal Council).","Swiss Federal Council","Swiss Federal Council","098_CHE_Guy-Parmelin.jpg","IMAGE_UNIQUE"
"8","MAR","Morocco","Mohammed VI of Morocco","Monarch / head of state; no president","head_state","royal_allowance_estimate","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Mohammed VI of Morocco).","Mohammed VI of Morocco","Aziz Akhannouch","041_MAR_Mohammed-VI-of-Morocco.jpg","IMAGE_UNIQUE"
"9","AUS","Australia","Sam Mostyn","Governor-General of Australia / representative of the monarch","representative_head_state","governor_general_equivalent_estimate","FIXED_COMMONWEALTH_REPRESENTATIVE_METHODOLOGY","Representative correction: salary_basis is governor_general_equivalent_estimate, so display uses Sam Mostyn rather than formal monarch Charles III.","Charles III","Anthony Albanese","009_AUS_Sam-Mostyn.jpg","IMAGE_UNIQUE"
"10","DEU","Germany","Frank-Walter Steinmeier","Head of state / president where applicable","head_state","verified_usd_column_from_salary_table","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Frank-Walter Steinmeier).","Frank-Walter Steinmeier","Friedrich Merz","019_DEU_Frank-Walter-Steinmeier.jpg","IMAGE_UNIQUE"
