"rank_population","country_en","country_ru","iso3","population","population_date","population_source","leader_name_en","leader_name_ru","leader_qid","office_title","role_type","salary_local_annual","salary_usd_annual_approx","salary_usd_display","salary_conversion_note","salary_usd_monthly_display","salary_usd_monthly_equivalent","salary_basis","salary_confidence","salary_source_url","salary_source_caveat","portrait_original_file","portrait_3x4_file","portrait_source_url","portrait_license","portrait_author","portrait_attribution","portrait_width","portrait_height","notes"
"1","India","Индия","IND","1417492000","1 Jul 2025","Official projection","Droupadi Murmu","Драупади Мурму","Q19901232","Head of state / president where applicable","head_state","INR 6,000,000/year","70000","$70,000","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$5,833","5833","official_local_salary_current_fx_estimate","high","https://www.mha.gov.in/sites/default/files/2022-08/PresidentsActupto2018_09082018%5B1%5D_0.pdf","President salary is INR 5 lakh/month = INR 6,000,000/year; USD converted approximately for June 2026.","","assets/final_portraits_3x4/001_IND_Droupadi-Murmu.jpg","https://commons.wikimedia.org/wiki/File:President_of_India_Droupadi_Murmu_official_portrait_%28cropped%29.jpg","GODL-India","President's Secretariat
","https://presidentofindia.gov.in/president-india-smt-droupadi-murmu","2800","3500",""
"2","People's Republic of China","Китай","CHN","1404890000","31 Dec 2025","Official estimate","Xi Jinping","Си Цзиньпин","Q15031","Head of state / president where applicable","head_state","22,000 USD (Party General Secretary and President)","22000","$22,000","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$1,833","1833","aggregate_salary_table_needs_official_confirmation","medium","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/002_CHN_Xi-Jinping.jpg","https://commons.wikimedia.org/wiki/File:Xi_Jinping_meets_Keir_Starmer_Jan_2026.jpg","CC BY 4.0","Simon Dawson / No 10 Downing Street","Prime Minister Keir Starmer visits China","1389","1851","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"3","United States","США","USA","341784857","1 Jul 2025","Official estimate","Donald Trump","Дональд Трамп","Q22686","Head of state / president where applicable","head_state","400,000 USD (President)","400000","$400,000","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$33,333","33333","local_salary_explicit_usd","medium","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/003_USA_Donald-Trump.jpg","https://commons.wikimedia.org/wiki/File:Official_Presidential_Portrait_of_President_Donald_J._Trump_%282025%29_%28cropped%29%282%29.jpg","Public domain","Daniel Torok","White HouseFacebook","1594","2048",""
"4","Indonesia","Индонезия","IDN","288315089","31 Dec 2025","National annual projection","Prabowo Subianto","Прабово Субианто","Q2107268","Head of state / president where applicable","head_state","51,600 USD (President)","51600","$51,600","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$4,300","4300","aggregate_salary_table_needs_official_confirmation","medium","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/004_IDN_Prabowo-Subianto.jpg","https://commons.wikimedia.org/wiki/File:Prabowo_Subianto_2024_official_portrait.jpg","Public domain","Ministry of State Secretariat","https://drive.google.com/drive/folders/129OfYcB7t4mdOZWutA05Flkij718oIpV","9129","11521","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"5","Pakistan","Пакистан","PAK","241499431","1 Mar 2023","2023 census result","Asif Ali Zardari","Асиф Али Зардари","Q57373","Head of state / president where applicable","head_state","PKR 10,158,600/year","35900","$35,900","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$2,992","2992","official_local_salary_current_fx_estimate","high","https://www.pakistancode.gov.pk/pdffiles/administrator5aec1130757e2fbcae3401d26e103d9e.pdf","President salary PKR 846,550/month; USD converted approximately for June 2026.","","assets/final_portraits_3x4/005_PAK_Asif-Ali-Zardari.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Asif%20Ali%20Zardari%20-%202024%20%28cropped%202%29.jpg","CC BY 4.0","



Press Service of the President of the Republic of Azerbaijan
","State reception on behalf of President of Pakistan was hosted in honor of President of Azerbaijan","","",""
"6","Nigeria","Нигерия","NGA","223800000","1 Jul 2023","Official projection","Bola Ahmed Tinubu","Бола Тинубу","Q3510872","Head of state / president where applicable","head_state","NGN 14,058,820/year","9200","$9,200","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$767","767","official_remuneration_package_current_fx_estimate","high","https://rmafc.gov.ng/wp-content/uploads/2020/01/Remuneration-Package-for-Political-and-Judicial-Office-Holders-.pdf","RMAFC salary package NGN 14,058,820/year; USD converted approximately for June 2026.","","assets/final_portraits_3x4/006_NGA_Bola-Ahmed-Tinubu.jpg","https://commons.wikimedia.org/wiki/File:Bola_Tinubu_portrait.jpg","CC BY-SA 4.0","Nosa Asemota ","Own work","1687","2109",""
"7","Brazil","Бразилия","BRA","213421037","1 Jul 2025","Official estimate","Luiz Inácio Lula da Silva","Луис Инасиу Лула да Силва","Q37181","Head of state / president where applicable","head_state","102,524 USD (President, 2019)","102524","$102,524","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$8,544","8544","aggregate_salary_table_needs_official_confirmation","medium","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/007_BRA_Luiz-Inácio-Lula-da-Silva.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Foto%20oficial%20de%20Luiz%20In%C3%A1cio%20Lula%20da%20Silva%20%28estreita%29.jpg","CC BY 2.0","Palácio do Planalto from Brasilia, Brasil","Foto Oficial do Presidente da República, Luiz Inácio Lula da Silva","","","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"8","Bangladesh","Бангладеш","BGD","169828911","14 Jun 2022","2022 census result","Mohammad Shahabuddin","Шахабуддин Чуппу","Q116763154","Head of state / president where applicable","head_state","BDT 1,440,000/year","11800","$11,800","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$983","983","official_local_salary_current_fx_estimate","high","https://laws.sayed.app/laws/act-487","President salary Tk 120,000/month = Tk 1,440,000/year; USD converted approximately for June 2026.","","assets/final_portraits_3x4/008_BGD_Mohammad-Shahabuddin.jpg","https://commons.wikimedia.org/wiki/File:Mohammed_Shahabuddin_official_portrait.jpg","Public domain","Press Information Department
","রাষ্ট্রপতির জীবনবৃত্তান্ত","1227","1600",""
"9","Russia","Россия","RUS","146028325","1 Jan 2025","Official estimate","Vladimir Putin","Владимир Владимирович Путин","Q7747","Head of state / president where applicable","head_state","136,000 USD (President)","136000","$136,000","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$11,333","11333","aggregate_salary_table_needs_official_confirmation","medium","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/009_RUS_Vladimir-Putin.jpg","https://commons.wikimedia.org/wiki/File:%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%9F%D1%83%D1%82%D0%B8%D0%BD_%2808-03-2024%29_%28cropped%29_%28higher_res%29_2.jpg","CC BY 4.0","Пресс-служба Президента РФ","https://www.thetimes.com/world/europe/article/emmanuel-macron-rebrands-himself-as-anti-russia-hawk-to-german-fury-dlplhbbzs (indirectly, this is identical in framing, slightly different color, higher res)","1559","2078","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"10","Mexico","Мексика","MEX","131150866","31 Mar 2026","National quarterly estimate","Claudia Sheinbaum","Клаудия Шейнбаум","Q5771800","Head of state / president where applicable","head_state","MXN 193,706/month","123600","$123,600","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$10,300","10300","reported_official_salary_current_fx_estimate","medium","https://mexiconewsdaily.com/politics/how-much-do-mexicos-elected-officials-really-earn/","Reported 2025 gross salary about MXN 193,706/month; USD converted approximately for June 2026.","","assets/final_portraits_3x4/010_MEX_Claudia-Sheinbaum.jpg","https://commons.wikimedia.org/wiki/File:Claudia_Sheinbaum_en_su_conferencia_matutina_%28cropped%29.jpg","CC BY 2.0","Eneas De Troya","https://www.flickr.com/photos/eneas/54070528525/","2845","3790",""
